W=250,H=3165,OPT(I)=2926
SORT=Descending Width (2),LOSS=7.55033%,ROTATIONS=0
id,x,y,w,h
30,0,0,184,158
25,0,158,183,122
9,0,280,178,87
36,0,367,177,108
7,0,475,175,179
5,0,654,174,139
43,0,793,173,117
26,0,910,171,63
3,0,973,166,99
17,0,1072,165,86
37,0,1158,164,150
19,0,1308,163,162
50,0,1470,160,111
41,0,1581,158,178
49,0,1759,156,98
44,0,1857,147,136
47,0,1993,144,141
45,0,2134,141,145
24,0,2279,141,105
2,0,2384,139,103
23,0,2487,138,124
6,0,2611,128,109
33,0,2720,127,155
51,0,2875,127,131
11,0,3006,125,97
40,127,2720,123,134
14,128,2854,122,159
21,125,3013,121,152
10,128,2611,121,77
16,139,2384,111,118
29,138,2502,110,107
35,144,1993,106,97
28,147,1857,103,95
27,144,2090,101,64
34,158,1581,92,147
48,158,1728,92,103
4,160,1470,88,74
32,164,1158,86,92
31,164,1250,85,97
46,166,973,84,164
12,177,367,73,84
18,178,280,71,83
42,180,451,70,140
13,175,591,69,97
22,174,688,68,150
38,173,838,68,84
20,141,2154,67,132
15,184,0,66,69
39,184,69,62,151
8,163,1347,62,82
1,183,220,50,2
