W=1000,H=13917,OPT(I)=12522
SORT=Descending Area (0),LOSS=10.0231%,ROTATIONS=0
id,x,y,w,h
38,0,0,729,723
27,0,723,716,640
42,0,1363,734,616
47,0,1979,746,596
2,0,2575,572,665
29,0,3240,634,596
40,0,3836,614,585
51,0,4421,625,568
30,0,4989,497,696
10,0,5685,668,506
26,0,6191,546,590
36,497,4989,467,679
7,0,6781,745,422
46,0,7203,604,519
3,0,7722,482,640
13,0,8362,554,549
18,0,8911,644,465
43,482,7722,479,606
25,0,9376,678,414
39,0,9790,465,590
8,465,9790,434,622
17,0,10412,728,359
11,572,2575,405,635
24,0,10771,483,532
16,546,6191,426,579
37,0,11303,583,421
15,483,10771,459,528
28,0,11724,542,400
5,634,3210,349,566
9,554,8328,446,433
14,604,7203,392,491
45,0,12124,537,355
44,0,12479,656,278
6,724,3776,276,660
32,644,8761,290,605
23,729,0,254,685
33,625,4436,321,520
21,668,5668,324,512
35,0,12757,599,269
34,0,13026,543,290
4,736,685,264,594
12,0,13316,486,320
41,542,11724,446,327
50,727,12051,273,526
49,583,11299,339,405
31,543,13026,417,300
19,486,13326,382,323
48,0,13636,439,281
22,723,12577,277,426
20,678,9366,268,352
1,716,1279,50,2
