W=500,H=6227,OPT(I)=5611
SORT=Descending Height (3),LOSS=9.89041%,ROTATIONS=1
id,x,y,w,h
37,0,0,374,362
26,0,362,370,165
13,0,527,349,260
44,0,787,347,346
18,0,1133,344,264
40,344,1133,155,344
21,349,527,137,328
38,0,1397,322,237
11,341,1477,159,314
39,0,1634,308,281
51,0,1915,313,304
16,0,2219,302,263
28,313,1791,155,295
32,0,2482,293,208
46,0,2690,284,284
9,284,2690,210,281
31,313,2086,187,270
10,0,2974,256,243
17,256,2974,226,250
2,0,3224,277,242
50,0,3466,332,238
47,0,3704,262,228
43,262,3704,225,360
42,0,3932,225,325
29,225,4064,219,278
4,302,2356,182,216
7,0,4342,315,212
33,0,4554,261,204
14,277,3224,222,199
27,315,4342,182,198
25,321,4540,179,299
19,0,4758,237,179
48,347,855,146,178
3,237,4839,233,177
8,0,5016,261,175
23,261,5016,200,174
34,0,5191,344,168
49,332,3423,164,254
41,0,5359,210,163
36,0,5522,362,162
30,345,5190,155,184
22,0,5684,321,154
12,210,5374,217,147
45,362,5521,131,144
20,363,5665,137,245
35,0,5838,213,135
5,213,5838,147,134
24,230,5972,270,128
15,0,6100,296,127
6,0,5973,213,127
1,374,0,50,2
