W=40,H=102,OPT(I)=101
SORT=Descending Height (3),LOSS=1.29902%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
45,12,0,11,8
112,23,0,11,8
86,0,8,10,8
16,10,8,9,8
36,19,8,8,8
58,27,8,8,8
20,0,16,7,8
57,34,0,4,8
10,35,8,3,8
29,7,16,3,8
85,10,16,3,8
22,38,0,2,8
27,13,16,12,7
31,25,16,12,7
39,28,23,12,7
119,16,23,12,7
69,0,24,11,7
41,30,30,10,7
93,21,30,9,7
54,13,30,8,7
44,0,31,7,7
84,33,37,7,7
102,7,31,6,7
4,29,37,4,7
47,25,37,4,7
87,21,37,4,7
26,11,24,2,7
19,38,8,1,7
5,0,38,12,6
74,0,44,12,6
6,12,44,11,6
92,23,44,11,6
95,12,38,9,6
117,0,50,9,6
1,9,50,8,6
13,17,50,8,6
107,25,50,8,6
62,33,50,7,6
88,0,56,7,6
94,7,56,7,6
35,34,44,5,6
81,14,56,5,6
97,19,56,4,6
8,37,16,3,6
76,13,23,2,6
113,23,56,2,6
108,39,44,1,6
18,25,56,11,5
34,29,61,11,5
75,0,62,11,5
116,11,62,11,5
46,30,66,10,5
111,0,67,10,5
89,10,67,9,5
101,19,67,9,5
56,32,71,8,5
55,22,62,6,5
104,0,72,6,5
109,6,72,5,5
110,11,72,5,5
63,39,8,1,5
114,15,23,1,5
99,16,72,12,4
2,29,76,11,4
52,18,76,11,4
65,0,77,11,4
105,29,80,11,4
70,19,80,10,4
77,0,81,10,4
78,30,84,10,4
25,11,80,8,4
33,22,84,8,4
118,14,84,8,4
42,0,85,5,4
48,5,85,5,4
71,35,88,5,4
32,36,56,3,4
80,16,76,2,4
40,23,88,12,3
14,12,88,11,3
66,0,89,11,3
3,25,91,10,3
21,15,91,10,3
38,0,92,10,3
23,32,94,8,3
51,24,94,8,3
120,16,94,8,3
24,0,95,7,3
73,7,95,7,3
91,33,97,7,3
115,27,97,6,3
9,28,71,4,3
50,11,77,3,3
49,14,77,2,3
12,39,13,1,3
79,39,56,1,3
72,16,97,11,2
61,0,98,9,2
68,18,99,9,2
59,9,98,7,2
60,0,100,6,2
64,35,92,5,2
90,10,92,5,2
96,28,74,4,2
100,10,84,4,2
106,10,86,4,2
43,6,100,3,2
28,15,28,1,2
15,27,100,11,1
82,9,101,11,1
11,9,100,9,1
17,20,101,9,1
53,13,37,8,1
37,36,60,4,1
67,37,22,3,1
98,25,61,3,1
103,13,29,2,1
30,38,15,1,1
83,39,59,1,1
