W=40,H=156,OPT(I)=155
SORT=Descending Height (3),LOSS=0.36859%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
194,12,0,12,8
45,24,0,11,8
112,0,8,11,8
124,11,8,11,8
187,22,8,11,8
86,0,16,10,8
136,10,16,10,8
193,20,16,10,8
16,30,16,9,8
36,0,24,8,8
58,8,24,8,8
190,16,24,8,8
20,33,8,7,8
139,24,24,7,8
176,31,24,7,8
171,0,32,6,8
57,35,0,4,8
10,6,32,3,8
29,9,32,3,8
85,12,32,3,8
150,15,32,3,8
166,18,32,3,8
22,38,24,2,8
127,39,0,1,8
129,39,16,1,8
27,21,32,12,7
31,28,39,12,7
39,0,40,12,7
119,12,40,12,7
69,29,46,11,7
199,0,47,11,7
41,11,47,10,7
154,30,53,10,7
93,21,53,9,7
54,0,54,8,7
44,33,32,7,7
84,8,54,7,7
147,33,60,7,7
175,26,60,7,7
102,15,54,6,7
4,24,39,4,7
47,25,46,4,7
87,22,60,4,7
142,0,61,4,7
185,4,61,4,7
26,8,61,2,7
19,24,46,1,7
5,10,61,12,6
74,28,67,12,6
126,16,67,12,6
6,0,68,11,6
92,29,73,11,6
172,19,73,10,6
95,0,74,9,6
117,9,74,9,6
1,32,79,8,6
13,24,79,8,6
107,0,80,8,6
158,8,80,8,6
62,16,80,7,6
88,33,85,7,6
94,26,85,7,6
195,0,86,6,6
35,11,67,5,6
81,6,86,5,6
97,11,86,4,6
8,21,47,3,6
164,23,85,3,6
76,15,86,2,6
113,17,86,2,6
188,19,86,2,6
108,23,79,1,6
125,18,73,1,6
131,21,86,1,6
157,22,86,1,6
18,29,91,11,5
34,0,92,11,5
75,11,92,11,5
116,29,96,11,5
46,0,97,10,5
111,10,97,10,5
123,30,101,10,5
198,20,101,10,5
89,0,102,9,5
101,9,102,9,5
135,31,106,9,5
145,22,106,9,5
56,0,107,8,5
181,8,107,8,5
55,23,91,6,5
104,23,96,6,5
109,16,107,5,5
110,35,111,5,5
162,30,111,5,5
197,25,111,5,5
186,21,111,4,5
170,0,112,3,5
159,18,102,2,5
63,21,106,1,5
114,22,92,1,5
132,3,112,1,5
143,4,112,1,5
99,5,112,12,4
178,28,116,12,4
2,17,116,11,4
52,6,116,11,4
65,0,120,11,4
105,11,120,11,4
121,22,120,11,4
70,0,124,10,4
77,10,124,10,4
78,20,124,10,4
25,30,124,8,4
33,0,128,8,4
118,8,128,8,4
149,33,120,7,4
128,16,128,6,4
42,22,128,5,4
48,27,128,5,4
71,32,128,5,4
140,0,132,5,4
32,20,97,3,4
163,17,112,3,4
169,37,128,3,4
80,38,124,2,4
130,5,132,2,4
189,7,132,2,4
200,9,132,2,4
138,20,112,1,4
40,11,132,12,3
180,23,132,12,3
14,29,135,11,3
66,18,135,11,3
141,0,136,11,3
152,18,138,11,3
3,29,138,10,3
21,0,139,10,3
38,30,141,10,3
177,21,141,9,3
23,10,139,8,3
51,0,142,8,3
120,8,142,8,3
161,32,144,8,3
24,11,135,7,3
73,25,144,7,3
91,18,144,7,3
115,0,117,6,3
174,0,145,6,3
9,35,132,4,3
165,6,145,4,3
50,18,141,3,3
183,10,145,3,3
49,16,142,2,3
155,13,145,2,3
173,15,145,2,3
12,39,132,1,3
79,39,138,1,3
144,17,145,1,3
72,29,147,11,2
182,18,147,11,2
61,0,148,9,2
68,9,148,9,2
167,32,149,8,2
59,25,149,7,2
191,18,149,7,2
60,0,150,6,2
64,6,150,5,2
90,11,150,5,2
151,35,151,5,2
96,31,151,4,2
100,27,151,4,2
106,23,151,4,2
43,20,151,3,2
28,16,150,1,2
153,0,152,12,1
15,0,153,11,1
82,11,153,11,1
137,22,153,10,1
11,0,154,9,1
17,9,154,9,1
160,18,154,9,1
179,27,154,9,1
53,12,152,8,1
122,32,153,8,1
156,0,155,8,1
168,8,155,8,1
192,11,73,7,1
133,11,138,6,1
37,18,79,4,1
67,21,39,3,1
98,17,151,3,1
148,36,154,3,1
103,16,155,2,1
134,18,155,2,1
30,21,60,1,1
83,10,67,1,1
146,22,79,1,1
184,20,106,1,1
196,5,116,1,1
