W=25,H=60,OPT(I)=57
SORT=Descending Height (3),LOSS=5.33333%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
16,12,0,9,8
36,0,8,8,8
20,8,8,7,8
10,21,0,3,8
29,15,8,3,8
22,18,8,2,8
27,0,16,12,7
31,12,16,12,7
39,0,23,12,7
4,20,8,4,7
26,12,23,2,7
19,24,0,1,7
5,0,30,12,6
6,14,23,11,6
1,17,29,8,6
13,17,35,8,6
35,12,30,5,6
8,0,36,3,6
18,3,36,11,5
34,14,41,11,5
2,3,41,11,4
25,0,45,8,4
33,8,46,8,4
32,14,36,3,4
40,0,50,12,3
14,12,50,11,3
3,0,53,10,3
21,10,53,10,3
38,0,56,10,3
23,16,46,8,3
24,10,56,7,3
9,20,53,4,3
12,24,7,1,3
28,24,10,1,2
15,0,59,11,1
11,16,49,9,1
17,11,59,9,1
37,20,15,4,1
30,24,15,1,1
