W=25,H=110,OPT(I)=107
SORT=Descending Height (3),LOSS=2.8%,ROTATIONS=0
id,x,y,w,h
7,0,0,12,8
45,12,0,11,8
16,0,8,9,8
36,9,8,8,8
58,17,8,8,8
20,0,16,7,8
57,7,16,4,8
10,11,16,3,8
29,14,16,3,8
22,23,0,2,8
27,0,24,12,7
31,12,24,12,7
39,0,31,12,7
69,12,31,11,7
41,0,38,10,7
54,17,16,8,7
44,10,38,7,7
4,17,38,4,7
47,21,38,4,7
26,23,31,2,7
19,24,23,1,7
5,0,45,12,6
74,12,45,12,6
6,0,51,11,6
1,11,51,8,6
13,0,57,8,6
62,8,57,7,6
35,19,51,5,6
8,15,57,3,6
76,18,57,2,6
18,0,63,11,5
34,11,63,11,5
75,0,68,11,5
46,11,68,10,5
56,0,73,8,5
55,8,73,6,5
63,24,45,1,5
2,14,73,11,4
52,14,77,11,4
65,0,78,11,4
70,15,81,10,4
77,0,82,10,4
78,15,85,10,4
25,0,86,8,4
33,17,89,8,4
42,20,57,5,4
48,10,82,5,4
71,8,86,5,4
32,11,78,3,4
80,23,61,2,4
40,0,90,12,3
14,0,93,11,3
66,11,93,11,3
3,0,96,10,3
21,10,96,10,3
38,0,99,10,3
23,10,99,8,3
51,0,102,8,3
24,18,99,7,3
73,8,102,7,3
9,21,68,4,3
50,22,65,3,3
49,13,86,2,3
12,24,50,1,3
79,24,53,1,3
72,0,105,11,2
61,15,102,9,2
68,16,104,9,2
59,18,106,7,2
60,12,106,6,2
64,12,90,5,2
43,20,61,3,2
28,22,63,1,2
15,0,107,11,1
11,0,108,9,1
17,9,108,9,1
53,0,109,8,1
37,13,89,4,1
67,17,23,3,1
30,24,30,1,1
