W=300,H=797,OPT(I)=770
SORT=Descending Height (3),LOSS=3.33124%,ROTATIONS=0
id,x,y,w,h
48,0,0,78,100
99,78,0,66,100
96,144,0,62,100
52,206,0,13,99
98,219,0,7,99
24,226,0,59,97
12,221,99,79,96
13,0,100,61,96
23,61,100,48,95
63,109,100,89,94
31,143,194,78,94
14,285,0,10,92
75,77,195,66,91
44,221,195,41,91
36,262,195,33,91
5,0,196,24,91
86,58,286,85,90
51,215,99,6,90
28,198,100,10,88
21,295,0,5,88
66,24,196,25,85
38,49,196,28,84
92,143,288,84,83
76,211,371,89,82
30,0,376,84,82
79,227,286,50,82
87,0,287,37,82
6,187,371,24,81
57,151,371,36,80
39,37,281,16,79
43,208,99,6,76
81,97,451,90,75
56,84,376,37,74
74,187,453,55,73
37,121,376,30,73
17,277,286,17,70
77,0,458,79,69
53,242,453,54,69
11,88,450,9,69
27,281,522,19,62
46,295,195,2,61
58,234,526,47,60
60,174,526,60,59
33,118,526,56,59
54,79,519,18,57
34,0,527,51,56
70,0,583,85,52
4,85,585,81,51
55,51,527,27,51
97,166,585,37,50
68,203,585,26,50
62,97,526,20,50
85,211,635,89,48
1,229,586,66,48
40,0,635,15,47
22,15,636,93,44
64,295,256,4,44
29,297,195,3,43
26,108,636,72,41
100,173,677,38,40
73,139,677,34,39
25,90,680,49,38
15,180,635,15,38
91,39,680,51,37
82,195,635,16,37
18,211,683,57,35
2,0,717,41,35
71,0,682,38,34
59,268,683,25,34
72,160,716,13,33
69,41,718,66,31
47,294,300,6,28
83,107,718,43,27
10,173,717,28,25
61,201,718,73,24
16,201,742,99,23
45,102,749,99,23
42,53,280,4,23
65,274,717,20,22
50,0,752,77,21
67,258,765,42,20
80,79,458,8,20
90,77,749,19,19
35,178,772,80,15
94,137,772,41,15
88,0,773,67,14
95,94,772,43,13
93,208,175,7,13
9,89,785,48,11
41,0,787,82,10
7,298,88,2,10
89,87,576,31,8
3,285,92,5,7
19,0,369,43,6
20,51,578,29,5
78,173,742,25,5
8,226,97,14,2
49,290,92,5,2
84,227,368,60,1
32,0,716,39,1
