W=300,H=921,OPT(I)=876
SORT=Descending Height (3),LOSS=4.85776%,ROTATIONS=0
id,x,y,w,h
59,0,0,40,100
27,40,0,91,98
73,131,0,45,98
63,176,0,27,96
61,203,0,95,94
85,212,94,88,94
36,166,98,46,94
31,86,98,80,93
30,0,100,54,91
33,228,188,72,89
70,0,191,49,88
57,54,98,29,88
15,49,191,99,86
44,148,192,80,86
64,124,277,24,86
93,59,277,65,85
97,276,277,24,85
38,253,277,23,85
49,148,278,39,84
89,187,278,27,84
67,50,277,9,84
95,0,362,82,83
75,208,362,92,81
53,82,363,85,81
80,240,277,13,80
91,205,443,95,78
29,149,444,56,78
1,0,279,47,76
2,0,445,71,71
90,167,362,30,70
48,298,0,2,70
37,71,445,76,67
78,101,512,48,67
3,83,98,1,67
9,0,516,88,65
28,235,521,65,65
43,139,579,96,64
82,0,581,69,61
87,88,579,51,60
81,235,586,60,59
66,80,639,59,58
77,149,522,86,57
56,0,642,64,57
84,139,643,27,57
18,166,643,39,55
26,205,645,79,54
52,95,697,44,53
4,0,699,59,52
5,84,98,1,49
100,214,278,23,47
47,208,699,92,45
35,222,744,78,44
86,172,698,33,44
25,197,362,6,43
54,144,742,64,42
98,100,750,44,42
45,203,362,4,42
60,0,751,50,39
74,69,581,15,39
23,164,784,58,36
79,214,325,5,34
88,222,788,63,33
7,68,697,27,33
41,139,700,24,33
99,84,147,2,33
8,0,790,88,32
92,145,820,77,31
21,59,730,34,30
62,0,822,91,28
94,0,850,82,28
71,85,98,1,28
34,50,760,50,27
69,88,792,48,27
55,219,325,6,27
22,225,325,4,27
20,82,851,92,23
68,91,819,42,22
65,222,821,39,22
12,64,642,16,22
46,174,851,90,21
11,261,821,30,21
42,238,872,62,20
10,187,872,51,20
17,105,874,82,17
19,0,878,57,17
14,136,792,28,16
76,90,891,97,13
13,270,842,30,13
6,69,620,17,13
16,187,892,65,12
40,0,895,58,12
24,216,904,84,11
50,155,904,61,10
83,60,904,95,9
32,0,913,89,8
58,167,432,23,8
96,0,907,56,6
39,89,914,76,4
51,165,915,55,3
72,89,918,92,1
