W=300,H=1012,OPT(I)=975
SORT=Descending Height (3),LOSS=3.64987%,ROTATIONS=0
id,x,y,w,h
88,0,0,98,100
31,98,0,96,100
44,194,0,5,100
64,199,0,5,100
84,204,0,3,98
68,207,0,15,94
42,222,0,70,93
54,252,93,48,92
89,0,100,85,91
100,218,94,34,91
3,209,94,9,91
82,85,100,65,90
52,150,100,49,90
10,213,185,87,89
20,154,190,59,89
61,292,0,8,89
1,0,191,76,88
30,215,274,85,87
77,87,190,67,87
15,0,279,84,86
66,84,277,20,85
93,104,277,48,84
7,206,361,94,83
47,124,361,82,83
55,0,365,79,83
58,234,444,66,83
81,168,444,66,82
4,152,279,57,82
48,121,444,47,81
83,110,361,14,77
27,0,448,53,76
18,0,524,93,75
65,53,448,43,75
40,93,526,86,73
69,179,527,78,72
22,93,362,17,72
78,0,599,85,71
24,85,599,77,70
99,96,438,24,70
21,162,599,57,69
73,257,527,34,69
50,281,596,19,67
72,209,668,91,66
38,204,98,5,66
75,219,599,60,65
91,111,669,98,64
17,0,670,80,63
62,80,670,27,62
26,0,733,84,58
39,84,732,15,58
57,99,733,83,57
53,79,365,12,57
92,199,100,4,57
6,182,734,94,56
59,234,790,66,55
56,173,790,61,53
90,129,790,44,50
32,96,790,33,50
74,0,791,27,50
34,27,791,40,49
28,276,734,17,49
79,141,840,32,44
43,48,840,93,43
14,173,843,57,43
19,203,100,1,43
85,230,845,54,42
70,0,883,69,40
45,69,884,81,34
51,150,886,70,34
94,220,887,55,34
41,75,918,75,33
86,67,791,22,31
11,150,921,90,29
95,222,950,78,29
80,0,923,63,29
36,32,840,16,29
60,149,951,73,27
9,240,921,35,27
96,199,164,8,24
2,0,841,23,22
87,0,952,96,21
23,0,973,94,21
8,94,978,78,21
46,172,979,56,20
71,96,951,43,19
16,228,979,40,19
5,0,863,23,19
67,0,994,59,17
97,233,998,67,9
25,59,999,89,8
37,114,970,35,8
98,76,191,9,6
35,59,1007,91,5
33,148,999,72,5
12,219,664,32,4
76,148,1004,55,3
63,79,434,19,3
49,150,1007,75,2
13,53,523,36,1
29,79,437,31,1
